"カテゴリ","title","所在及び住居表示","令和4年価格及び対前年変動率","地積","形状","前面道路状況","利用状況","周辺の土地の利用状況","交通施設","用途地域（建ぺい率／容積率）","防火・準防火地域","令和3年価格及び対前年変動率","令和2年価格及び対前年変動率","平成31年価格及び対前年変動率","平成30年価格及び対前年変動率","平成29年価格及び対前年変動率","平成28年価格及び対前年変動率","平成27年価格及び対前年変動率","平成26年価格及び対前年変動率","平成25年価格及び対前年変動率","lng","lat","分類"
"地価公示(基準日 R4.1.1)","西成-04","大阪市西成区橘１－１１－６","177,000円/㎡、0.6%","102㎡","1:2.5","南 5m 私道","住宅　木造2F","小規模一般住宅や共同住宅を中心とする住宅地域","天下茶屋 590m","第一種住居地域 (80/300)","準防火地域","176,000円/㎡、-2.2%","180,000円/㎡、2.9％","175,000円/㎡、0.6％","174,000円/㎡、0.0％","174,000円/㎡、0.0％","174,000円/㎡ 0.0％","174,000円/㎡ -1.1%","176,000円/㎡ -1.7%","179,000円/㎡ -2.7%","135.493509924943","34.6396975807788","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","阿倍野5-04","大阪市阿倍野区阿倍野筋１－３－２１","3,000,000円/㎡、-5.7%","1187㎡","不整形1:1.5","西 40m 府道 三方路","店舗兼事務所　鉄筋コンクリート造9F","百貨店、事務所店舗ビルが建ち並ぶ高度商業地域","大阪阿部野橋 近接","商業地域 (80/800)","防火地域","3,180,000円/㎡、-9.1%","3,500,000円/㎡、12.9％","3,100,000円/㎡、6.9％","2,900,000円/㎡、7.4％","2,700,000円/㎡、11.6％","2,420,000円/㎡ 9.0％","2,220,000円/㎡ 4.7%","2,120,000円/㎡ 1.4%","2,090,000円/㎡ -","135.513056301071","34.6454603978757","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","平野9-01","大阪市平野区平野北１－７－７","179,000円/㎡、0.0%","403㎡","1:1.5","北 11m 市道","倉庫　鉄骨造5F","中小規模の工場、倉庫、住宅が混在する工業地域","平野 400m","準工業地域 (60/200)","準防火地域","179,000円/㎡、-0.6%","180,000円/㎡、0.0％","180,000円/㎡、0.0％","180,000円/㎡、-0.6％","181,000円/㎡、-0.5％","182,000円/㎡ -0.5％","183,000円/㎡ -1.1%","185,000円/㎡ -1.1%","187,000円/㎡ -1.6%","135.550704472337","34.6332191422555","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","阿倍野5-01","大阪市阿倍野区昭和町２－１－１","583,000円/㎡、-0.2%","227㎡","1:1.5","北 25m 市道","店舗兼共同住宅　鉄筋コンクリート造8F","低層店舗、中高層店舗付共同住宅が多い商業地域","昭和町 100m","商業地域 (80/400)","防火地域","584,000円/㎡、-1.2%","591,000円/㎡、2.2％","578,000円/㎡、1.4％","570,000円/㎡、1.8％","560,000円/㎡、4.7％","535,000円/㎡ 7.0％","500,000円/㎡ 7.1%","467,000円/㎡ 9.4%","427,000円/㎡ 1.7%","135.517178971698","34.6324602220815","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","東住吉-10","大阪市東住吉区杭全５－９－１７","228,000円/㎡、0.0%","173㎡","1:2","南 6m 市道","住宅　鉄骨造3F","一般住宅のほかに営業所等が見られる住宅地域","北田辺 940m","第一種住居地域 (80/200)","準防火地域","228,000円/㎡、-0.4%","229,000円/㎡、0.4％","228,000円/㎡、0.4％","227,000円/㎡、0.0％","227,000円/㎡、0.0％","227,000円/㎡ 0.0％","227,000円/㎡ -0.4%","228,000円/㎡ -0.4%","229,000円/㎡ -0.9%","135.537402477702","34.6322077878535","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","淀川5-03","大阪市淀川区塚本２－２８－１９","286,000円/㎡、0.7%","96㎡","台形1:4","北東 11m 市道","店舗兼住宅　鉄骨造3F","小売店舗等の建ち並ぶ駅前の商業地域","塚本 100m","商業地域 (80/400)","準防火地域","284,000円/㎡、0.0%","284,000円/㎡、1.1％","281,000円/㎡、1.1％","278,000円/㎡、1.1％","275,000円/㎡、0.7％","273,000円/㎡ 0.7％","271,000円/㎡ 0.7%","269,000円/㎡ 0.0%","269,000円/㎡ -0.4%","135.468971753543","34.7133609367167","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","西淀川-05","大阪市西淀川区佃２－３－１９","177,000円/㎡、0.0%","72㎡","1:2","南西 3.6m 私道","住宅　木造2F","小規模一般住宅が密集する住宅地域","千船 340m","第一種住居地域 (80/200)","準防火地域","177,000円/㎡、-1.1%","179,000円/㎡、0.6％","178,000円/㎡、0.0％","178,000円/㎡、0.0％","178,000円/㎡、0.0％","178,000円/㎡ 0.0％","178,000円/㎡ -0.6%","179,000円/㎡ -1.1%","181,000円/㎡ -2.2%","135.447568897262","34.7130451909321","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","都島-02","大阪市都島区御幸町１－６－２６","270,000円/㎡、2.3%","165㎡","1:2","南 6m 市道","住宅　木造2F","一般住宅の中に、共同住宅等が混在する住宅地域","野江内代 770m","第一種住居地域 (80/300)","準防火地域","264,000円/㎡、1.5%","260,000円/㎡、2.0％","255,000円/㎡、1.6％","251,000円/㎡、1.2％","248,000円/㎡、0.8％","246,000円/㎡ 1.7％","242,000円/㎡ 2.1%","237,000円/㎡ 1.3%","234,000円/㎡ 0.0%","135.534442107127","34.713378739106","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","北5-14","大阪市北区豊崎３－２０－１０","1,590,000円/㎡、0.0%","249㎡","台形1:2","西 25m 市道","店舗兼事務所　鉄骨鉄筋コンクリート造10F","高層の店舗兼事務所ビルが多い繁華な商業地域","中津 近接","商業地域 (80/600)","防火地域","1,590,000円/㎡、-5.9%","1,690,000円/㎡、14.2％","1,480,000円/㎡、13.8％","1,300,000円/㎡、13.0％","1,150,000円/㎡、12.7％","1,020,000円/㎡ 7.8％","946,000円/㎡ 3.4%","915,000円/㎡ 3.6%","883,000円/㎡ 0.3%","135.496474207789","34.7095680337001","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","城東-07","大阪市城東区野江４－１２－１７","205,000円/㎡、1.5%","111㎡","1:1.5","南西 5.5m 私道","住宅　木造3F","中小規模の一般住宅が多い住宅地域","野江内代 270m","第一種住居地域 (80/200)","準防火地域","202,000円/㎡、0.5%","201,000円/㎡、2.0％","197,000円/㎡、1.5％","194,000円/㎡、1.0％","192,000円/㎡、0.5％","191,000円/㎡ 0.5％","190,000円/㎡ 1.1%","188,000円/㎡ 0.0%","188,000円/㎡ 0.0%","135.540758819074","34.710201413949","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","城東5-01","大阪市城東区関目１－１－３","355,000円/㎡、1.1%","363㎡","1:2","西 25m 国道","店舗　鉄骨造2F","店舗、店舗兼共同住宅等が建ち並ぶ路線商業地域","蒲生四丁目 390m","近隣商業地域 (80/300)","防火地域","351,000円/㎡、0.0%","351,000円/㎡、2.9％","341,000円/㎡、2.7％","332,000円/㎡、2.8％","323,000円/㎡、1.3％","319,000円/㎡ 1.6％","314,000円/㎡ 0.6%","312,000円/㎡ 0.6%","310,000円/㎡ 0.0%","135.546638198238","34.7048562429182","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","淀川-09","大阪市淀川区西三国１－１６－１０","222,000円/㎡、0.5%","60㎡","1:1","西 4m 市道","住宅　木造2F","小規模一般住宅が建ち並ぶ住宅地域","東三国 700m","第一種住居地域 (80/300)","準防火地域","221,000円/㎡、0.0%","221,000円/㎡、1.4％","218,000円/㎡、1.4％","215,000円/㎡、1.4％","212,000円/㎡、0.5％","211,000円/㎡ 0.5％","210,000円/㎡ 0.5%","209,000円/㎡ 0.0%","209,000円/㎡ -0.5%","135.491771795338","34.7425378291802","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","平野-03","大阪市平野区長吉六反１－４－１８","146,000円/㎡、0.0%","117㎡","1:2","南 4m 市道","住宅　鉄骨造2F","中規模一般住宅が建ち並ぶ住宅地域","長原 1600m","第二種中高層住居専用地域 (60/200)","準防火地域","146,000円/㎡、-0.7%","147,000円/㎡、0.0％","147,000円/㎡、-0.7％","148,000円/㎡、-0.7％","149,000円/㎡、-0.7％","150,000円/㎡ -0.7％","151,000円/㎡ -1.3%","153,000円/㎡ -1.9%","156,000円/㎡ -2.5%","135.582017813007","34.6102876667368","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","西5-13","大阪市西区南堀江１－２－１４","2,080,000円/㎡、-1.0%","329㎡","1:4","西 23.6m 市道 背面道","事務所兼倉庫　鉄筋コンクリート造7F1BF","中高層の事務所ビル、店舗の建ち並ぶ商業地域","四ツ橋 150m","商業地域 (80/800)","防火地域","2,100,000円/㎡、-4.5%","2,200,000円/㎡、26.4％","1,740,000円/㎡、14.5％","1,520,000円/㎡、14.3％","1,330,000円/㎡、14.7％","1,160,000円/㎡ 14.9％","1,010,000円/㎡ 5.8%","955,000円/㎡ 5.8%","903,000円/㎡ 0.3%","135.496746179256","34.6715270600857","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央5-23","大阪市中央区心斎橋筋２－８－５","13,300,000円/㎡、-10.7%","436㎡","1:3.5","東 6m 市道","店舗　鉄骨造2F1BF","中層の専門店等が多い繁華な商業地域","心斎橋 220m","商業地域 (80/1000)","防火地域","14,900,000円/㎡、-20.3%","18,700,000円/㎡、17.6％","15,900,000円/㎡、20.5％","13,200,000円/㎡、20.0％","11,000,000円/㎡、33.0％","8,270,000円/㎡ 45.1％","5,700,000円/㎡ 10.7%","5,150,000円/㎡ 5.7%","4,870,000円/㎡ 2.5%","135.501080548598","34.6714369915921","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","中央5-22","大阪市中央区島之内１－２２－２２","1,390,000円/㎡、-2.1%","395㎡","1:3","西 21.8m 府道","店舗兼事務所　鉄骨鉄筋コンクリート造10F1BF","中高層の事務所ビル等が建ち並ぶ商業地域","長堀橋 120m","商業地域 (80/800)","防火地域","1,420,000円/㎡、-4.1%","1,480,000円/㎡、12.1％","1,320,000円/㎡、12.8％","1,170,000円/㎡、13.6％","1,030,000円/㎡、8.4％","950,000円/㎡ 7.8％","881,000円/㎡ 2.6%","859,000円/㎡ 1.9%","843,000円/㎡ -0.9%","135.506513229392","34.6724725483597","地価公示(基準日 R4.1.1)"
"地価公示(基準日 R4.1.1)","港5-01","大阪市港区弁天４－１２－８","394,000円/㎡、1.3%","172㎡","1:2","南東 30m 市道","店舗兼共同住宅　鉄骨造4F","店舗付共同住宅、小売店舗等が混在する商業地域","弁天町 420m","商業地域 (80/400)","準防火地域","389,000円/㎡、-1.0%","393,000円/㎡、8.0％","364,000円/㎡、2.0％","357,000円/㎡、1.1％","353,000円/㎡、1.1％","349,000円/㎡ 0.0％","349,000円/㎡ 0.0%","349,000円/㎡ 0.0%","349,000円/㎡ -1.1%","135.457806664982","34.6703710953135","地価公示(基準日 R4.1.1)"
